970228, 11.0, 0.695, 1.4, 22.4,,,,, N
970508, 3.17, 0.835, 1.8, 5.46, 25, 0.293, 0.234, 36, R
970828, 96.0, 0.958, 2.1, 220, 2.2, 0.072, 0.575, 62, X
971214, 9.44, 3.418, 9.9, 211, > 2.5, > 0.056, > 0.333, 63, O
980613, 1.71, 1.096, 2.5, 5.67, > 3.1, > 0.127, > 0.045, 64, O
980703, 22.6, 0.966, 2.1, 60.1, 7.5, 0.135, 0.544, 65, B
990123, 268, 1.600, 3.9, 1440, 2.04, 0.050, 1.80, 14, O
990506, 194, 1.30, 3.0, 854,,,,, N
990510, 22.6, 1.619, 4.0, 176, 1.20, 0.053, 0.248, 18, B
990705, 93, 0.84, 1.8, 270, ∼1, 0.054, 0.389, 66, O
990712, 6.5, 0.433, 0.8, 5.27, > 47.7, > 0.411, > 0.445, 67, O
991208, 100, 0.706, 1.4, 147, < 2.1, < 0.079, < 0.455, 68, D
991216, 194, 1.02, 2.3, 535, 1.2, 0.051, 0.695, 34, O
000131, 41.8, 4.500, 13.7, 1160, < 3.5, < 0.047, < 1.30, 69, D
000301C, 4.1, 2.034, 5.3, 46.4, 5.5, 0.105, 0.256, 5, B
000418, 20.0, 1.119, 2.5, 82.0, 25, 0.198, 1.60, 35, B
000926, 6.2, 2.037, 5.3, 297, 1.45, 0.051, 0.379
